              r        Density
      0.0800000        17593.0
       0.160000        125668.
       0.240000        332604.
       0.320000        631229.
       0.400000        984650.
       0.480000    1.39027E+06
       0.560000    1.80366E+06
       0.640000    2.19651E+06
       0.720000    2.56096E+06
       0.800000    2.86214E+06
       0.880000    3.08989E+06
       0.960000    3.23128E+06
        1.04000    3.28648E+06
        1.12000    3.25431E+06
        1.20000    3.15596E+06
        1.28000    2.99276E+06
        1.36000    2.78428E+06
        1.44000    2.53463E+06
        1.52000    2.26177E+06
        1.60000    1.98662E+06
        1.68000    1.69759E+06
        1.76000    1.44206E+06
        1.84000    1.18890E+06
        1.92000        971491.
        2.00000        779362.
        2.08000        616448.
        2.16000        481828.
        2.24000        365298.
        2.32000        276922.
        2.40000        201855.
        2.48000        147158.
        2.56000        107362.
        2.64000        77796.0
        2.72000        53519.0
        2.80000        37224.0
        2.88000        25380.0
        2.96000        16981.0
        3.04000        10885.0
        3.12000        7078.00
        3.20000        4367.00
        3.28000        2611.00
        3.36000        1780.00
        3.44000        1006.00
        3.52000        840.000
        3.60000        376.000
        3.68000        232.000
        3.76000        137.000
        3.84000        45.0000
        3.92000        26.0000
        4.00000        98.0000
