              r        Density
      0.0800000        15055.0
       0.160000        99728.0
       0.240000        268707.
       0.320000        512656.
       0.400000        812907.
       0.480000    1.14581E+06
       0.560000    1.51446E+06
       0.640000    1.86541E+06
       0.720000    2.21616E+06
       0.800000    2.55559E+06
       0.880000    2.78484E+06
       0.960000    2.98483E+06
        1.04000    3.10614E+06
        1.12000    3.14363E+06
        1.20000    3.12037E+06
        1.28000    3.02471E+06
        1.36000    2.87621E+06
        1.44000    2.68056E+06
        1.52000    2.45834E+06
        1.60000    2.20680E+06
        1.68000    1.94504E+06
        1.76000    1.68192E+06
        1.84000    1.43219E+06
        1.92000    1.19628E+06
        2.00000        985260.
        2.08000        798052.
        2.16000        635368.
        2.24000        498349.
        2.32000        385563.
        2.40000        292043.
        2.48000        218846.
        2.56000        158976.
        2.64000        115079.
        2.72000        83899.0
        2.80000        59440.0
        2.88000        40082.0
        2.96000        28543.0
        3.04000        18386.0
        3.12000        11998.0
        3.20000        8310.00
        3.28000        5307.00
        3.36000        3048.00
        3.44000        1758.00
        3.52000        1408.00
        3.60000        739.000
        3.68000        489.000
        3.76000        311.000
        3.84000        174.000
        3.92000        35.0000
        4.00000        33.0000
