              r        Density
      0.0500000        1866.00
       0.100000        13127.0
       0.150000        34815.0
       0.200000        66351.0
       0.250000        108173.
       0.300000        155962.
       0.350000        211405.
       0.400000        271864.
       0.450000        335392.
       0.500000        401308.
       0.550000        463691.
       0.600000        529559.
       0.650000        591599.
       0.700000        649127.
       0.750000        693723.
       0.800000        736849.
       0.850000        775171.
       0.900000        801942.
       0.950000        819209.
        1.00000        828542.
        1.05000        829813.
        1.10000        822193.
        1.15000        803089.
        1.20000        782780.
        1.25000        751857.
        1.30000        726648.
        1.35000        688812.
        1.40000        646898.
        1.45000        606639.
        1.50000        563816.
        1.55000        517779.
        1.60000        472352.
        1.65000        427596.
        1.70000        387146.
        1.75000        345058.
        1.80000        308772.
        1.85000        271217.
        1.90000        237979.
        1.95000        208169.
        2.00000        180160.
        2.05000        155192.
        2.10000        132423.
        2.15000        113183.
        2.20000        95591.0
        2.25000        79831.0
        2.30000        67772.0
        2.35000        55691.0
        2.40000        45374.0
        2.45000        36982.0
        2.50000        30536.0
        2.55000        24610.0
        2.60000        20221.0
        2.65000        15967.0
        2.70000        12817.0
        2.75000        9973.00
        2.80000        8108.00
        2.85000        6462.00
        2.90000        4817.00
        2.95000        3897.00
        3.00000        2919.00
        3.05000        2046.00
        3.10000        1716.00
        3.15000        1261.00
        3.20000        941.000
        3.25000        737.000
        3.30000        554.000
        3.35000        402.000
        3.40000        317.000
        3.45000        309.000
        3.50000        216.000
        3.55000        115.000
        3.60000        122.000
        3.65000        88.0000
        3.70000        74.0000
        3.75000        47.0000
        3.80000        54.0000
        3.85000        45.0000
        3.90000        45.0000
        3.95000        32.0000
        4.00000        22.0000
