  -- System info -- 
 Number of particles  : 10
 Number of dimensions : 3
 Number of Metropolis steps run : 10^4.99998
 Number of equilibration steps  : 10^4
 Number of parameters : 1

  -- Results -- 
 Param_1        E              E^2            VAR            % Accepted Transitions
 0.4            15.4177        238.721        1.01657        0.976879       
 0.512952       15.0028        225.095        0.0095427      0.969689       
 0.505679       15.001         225.032        0.00190451     0.970709       
 0.502344       15.0025        225.076        0.000352516    0.969919       
 0.500843       15             225            3.48298e-05    0.970069       
 0.50043        14.9998        224.995        1.3226e-05     0.970469       
 0.500123       14.9999        224.997        9.7367e-07     0.971329       
 0.500044       15             225            1.2675e-07     0.970899       
 0.500015       15             225            1.1878e-08     0.970109       
 0.500006       15             225            2.73215e-09    0.970549       
 0.500002       15             225            2.70063e-10    0.971169       
 0.500001       15             225            5.02212e-11    0.971079       
Execution time: 3.797561

