              r        Density
      0.0500000        4662.00
       0.100000        32214.0
       0.150000        86539.0
       0.200000        169225.
       0.250000        268902.
       0.300000        393427.
       0.350000        535326.
       0.400000        686982.
       0.450000        849712.
       0.500000    1.01098E+06
       0.550000    1.18139E+06
       0.600000    1.33969E+06
       0.650000    1.48794E+06
       0.700000    1.62106E+06
       0.750000    1.73980E+06
       0.800000    1.84209E+06
       0.850000    1.93471E+06
       0.900000    1.99684E+06
       0.950000    2.04857E+06
        1.00000    2.07496E+06
        1.05000    2.06669E+06
        1.10000    2.04559E+06
        1.15000    2.00298E+06
        1.20000    1.95877E+06
        1.25000    1.89044E+06
        1.30000    1.79802E+06
        1.35000    1.71231E+06
        1.40000    1.61118E+06
        1.45000    1.50746E+06
        1.50000    1.39579E+06
        1.55000    1.28026E+06
        1.60000    1.17641E+06
        1.65000    1.07589E+06
        1.70000        967736.
        1.75000        866076.
        1.80000        763572.
        1.85000        674190.
        1.90000        594905.
        1.95000        517454.
        2.00000        446246.
        2.05000        382663.
        2.10000        330386.
        2.15000        278477.
        2.20000        235739.
        2.25000        202928.
        2.30000        169267.
        2.35000        139521.
        2.40000        116579.
        2.45000        96154.0
        2.50000        77816.0
        2.55000        63377.0
        2.60000        52247.0
        2.65000        42883.0
        2.70000        33805.0
        2.75000        27202.0
        2.80000        21100.0
        2.85000        15961.0
        2.90000        12877.0
        2.95000        9935.00
        3.00000        7744.00
        3.05000        6333.00
        3.10000        4672.00
        3.15000        3720.00
        3.20000        2881.00
        3.25000        2212.00
        3.30000        1646.00
        3.35000        1394.00
        3.40000        900.000
        3.45000        735.000
        3.50000        614.000
        3.55000        423.000
        3.60000        264.000
        3.65000        177.000
        3.70000        146.000
        3.75000        104.000
        3.80000        76.0000
        3.85000        43.0000
        3.90000        2.00000
        3.95000        0.00000
        4.00000        0.00000
