              r        Density
      0.0500000        17805.0
       0.100000        132586.
       0.150000        350927.
       0.200000        673228.
       0.250000    1.08937E+06
       0.300000    1.58337E+06
       0.350000    2.12484E+06
       0.400000    2.74254E+06
       0.450000    3.38340E+06
       0.500000    4.02154E+06
       0.550000    4.67681E+06
       0.600000    5.32391E+06
       0.650000    5.91795E+06
       0.700000    6.48747E+06
       0.750000    6.97841E+06
       0.800000    7.42737E+06
       0.850000    7.76230E+06
       0.900000    7.96527E+06
       0.950000    8.18164E+06
        1.00000    8.26022E+06
        1.05000    8.21459E+06
        1.10000    8.17017E+06
        1.15000    8.06095E+06
        1.20000    7.80781E+06
        1.25000    7.54907E+06
        1.30000    7.18291E+06
        1.35000    6.81597E+06
        1.40000    6.46581E+06
        1.45000    6.00399E+06
        1.50000    5.63831E+06
        1.55000    5.17341E+06
        1.60000    4.73048E+06
        1.65000    4.31114E+06
        1.70000    3.88336E+06
        1.75000    3.47254E+06
        1.80000    3.08557E+06
        1.85000    2.71965E+06
        1.90000    2.39219E+06
        1.95000    2.06880E+06
        2.00000    1.82274E+06
        2.05000    1.55201E+06
        2.10000    1.33580E+06
        2.15000    1.14120E+06
        2.20000        954102.
        2.25000        810262.
        2.30000        671811.
        2.35000        542851.
        2.40000        454713.
        2.45000        379913.
        2.50000        304637.
        2.55000        250923.
        2.60000        201535.
        2.65000        160362.
        2.70000        120983.
        2.75000        98627.0
        2.80000        76114.0
        2.85000        59302.0
        2.90000        49080.0
        2.95000        37823.0
        3.00000        31487.0
        3.05000        23554.0
        3.10000        19412.0
        3.15000        12434.0
        3.20000        10768.0
        3.25000        8028.00
        3.30000        5847.00
        3.35000        4442.00
        3.40000        3499.00
        3.45000        2083.00
        3.50000        1907.00
        3.55000        1116.00
        3.60000        1143.00
        3.65000        846.000
        3.70000        451.000
        3.75000        374.000
        3.80000        53.0000
        3.85000        0.00000
        3.90000        0.00000
        3.95000        0.00000
        4.00000        0.00000
