  -- System info -- 
 Number of particles  : 2
 Number of dimensions : 3
 Number of Metropolis steps run : 10^4.99998
 Number of equilibration steps  : 10^4
 Number of parameters : 1

  -- Results -- 
 Param_1        E              E^2            VAR            % Accepted Transitions
 0.4            3.0988         9.77195        0.169414       0.976579       
 0.494119       3.00041        9.00286        0.000411615    0.970569       
 0.497639       2.99999        9.00001        7.17319e-05    0.970719       
 0.499162       2.99991        8.99947        8.26128e-06    0.970159       
 0.499656       2.99992        8.99953        1.31025e-06    0.970239       
 0.499846       3              9.00003        3.21446e-07    0.970229       
 0.49995        3              9.00002        2.94884e-08    0.971389       
 0.49998        3              8.99999        4.67455e-09    0.970819       
 0.499992       3              8.99999        7.1576e-10     0.970399       
 0.499996       3              9              1.33086e-10    0.970989       
 0.499998       3              9              3.81188e-11    0.970879       
 0.5            3              9              2.56506e-12    0.970829       
Execution time: 1.902750

