              r        Density
      0.0500000        8964.00
       0.100000        65722.0
       0.150000        177184.
       0.200000        337028.
       0.250000        544793.
       0.300000        788969.
       0.350000    1.07683E+06
       0.400000    1.37401E+06
       0.450000    1.70154E+06
       0.500000    2.03133E+06
       0.550000    2.35770E+06
       0.600000    2.65452E+06
       0.650000    2.97096E+06
       0.700000    3.25676E+06
       0.750000    3.48933E+06
       0.800000    3.69522E+06
       0.850000    3.89165E+06
       0.900000    4.00896E+06
       0.950000    4.09703E+06
        1.00000    4.12564E+06
        1.05000    4.12519E+06
        1.10000    4.11344E+06
        1.15000    4.02005E+06
        1.20000    3.91419E+06
        1.25000    3.76860E+06
        1.30000    3.59946E+06
        1.35000    3.42536E+06
        1.40000    3.20690E+06
        1.45000    2.98920E+06
        1.50000    2.76921E+06
        1.55000    2.56236E+06
        1.60000    2.34896E+06
        1.65000    2.13192E+06
        1.70000    1.92287E+06
        1.75000    1.71914E+06
        1.80000    1.53125E+06
        1.85000    1.35477E+06
        1.90000    1.19818E+06
        1.95000    1.04155E+06
        2.00000        903583.
        2.05000        780725.
        2.10000        673319.
        2.15000        568420.
        2.20000        481801.
        2.25000        404567.
        2.30000        335676.
        2.35000        279792.
        2.40000        227576.
        2.45000        187034.
        2.50000        156292.
        2.55000        126747.
        2.60000        100620.
        2.65000        81594.0
        2.70000        65653.0
        2.75000        50626.0
        2.80000        41450.0
        2.85000        32006.0
        2.90000        25069.0
        2.95000        19403.0
        3.00000        15057.0
        3.05000        12183.0
        3.10000        9205.00
        3.15000        7077.00
        3.20000        4400.00
        3.25000        3521.00
        3.30000        2611.00
        3.35000        1614.00
        3.40000        1402.00
        3.45000        997.000
        3.50000        1014.00
        3.55000        589.000
        3.60000        470.000
        3.65000        372.000
        3.70000        289.000
        3.75000        190.000
        3.80000        72.0000
        3.85000        68.0000
        3.90000        78.0000
        3.95000        40.0000
        4.00000        0.00000
