  -- System info -- 
 Number of particles  : 3
 Number of dimensions : 3
 Number of Metropolis steps run : 10^4.99998
 Number of equilibration steps  : 10^4
 Number of parameters : 1

  -- Results -- 
 Param_1        E              E^2            VAR            % Accepted Transitions
 0.4            4.66483        22.0203        0.259667       0.976219       
 0.496173       4.49967        20.2473        0.000263896    0.970429       
 0.49848        4.50102        20.2592        5.00931e-05    0.970299       
 0.499581       4.49997        20.2497        3.22748e-06    0.969699       
 0.499837       4.50002        20.2502        4.99327e-07    0.971459       
 0.499939       4.5            20.25          6.4858e-08     0.970499       
 0.499975       4.5            20.25          1.15259e-08    0.971369       
 0.499991       4.5            20.25          1.50577e-09    0.970809       
 0.499996       4.5            20.25          2.4712e-10     0.970829       
 0.499998       4.5            20.25          8.22951e-11    0.970559       
 0.499999       4.5            20.25          1.41327e-11    0.969409       
Execution time: 2.030308

