  -- System info -- 
 Number of particles  : 3
 Number of dimensions : 3
 Number of Metropolis steps run : 10^4.99998
 Number of equilibration steps  : 10^4
 Number of parameters : 1

  -- Results -- 
 Param_1        E              E^2            VAR            % Accepted Transitions
 0.4            4.65046        21.8773        0.250508       0.975969       
 0.492781       4.50008        20.2517        0.000965865    0.970779       
 0.497273       4.50156        20.2642        0.000158282    0.970449       
 0.499213       4.49993        20.2494        1.12953e-05    0.970029       
 0.499692       4.50002        20.2502        1.75599e-06    0.971839       
 0.499882       4.5            20.25          2.43963e-07    0.970389       
 0.49995        4.49999        20.2499        4.50309e-08    0.971489       
 0.499981       4.5            20.25          6.55086e-09    0.970529       
 0.499992       4.5            20.25          9.14419e-10    0.970699       
 0.499996       4.5            20.25          3.10926e-10    0.970359       
 0.499998       4.5            20.25          5.17986e-11    0.969239       
 0.499999       4.5            20.25          6.69687e-12    0.970759       
Execution time: 2.142583

