0.450000 1.290137 2.840500 0.005330 
0.500000 1.047439 1.668106 0.004084 
0.550000 0.922154 1.146099 0.003385 
0.600000 0.756961 0.626393 0.002503 
0.650000 0.685189 0.473361 0.002176 
0.700000 0.644835 0.303868 0.001743 
0.750000 0.580576 0.185531 0.001362 
0.800000 0.549694 0.106882 0.001034 
0.850000 0.521459 0.050482 0.000711 
0.900000 0.512073 0.023631 0.000486 
0.950000 0.503848 0.005557 0.000236 
1.000000 0.500000 0.000000 0.000000 
1.050000 0.502019 0.004780 0.000219 
1.100000 0.510996 0.017234 0.000415 
1.150000 0.519121 0.041011 0.000640 
1.200000 0.539367 0.067562 0.000822 
1.250000 0.548187 0.108294 0.001041 
1.300000 0.570691 0.149489 0.001223 
1.350000 0.605323 0.189384 0.001376 
1.400000 0.622019 0.260766 0.001615 
