  -- System info -- 
 Number of particles  : 10
 Number of dimensions : 3
 Number of Metropolis steps run : 10^4.99998
 Number of equilibration steps  : 10^4
 Number of parameters : 1

  -- Results -- 
 Param_1        E              E^2            VAR            % Accepted Transitions
 0.5            19.4296        382.045        4.53459        0.953898       
 0.489806       19.5973        387.659        3.60621        0.954388       
 0.481107       19.3512        377.572        3.1016         0.954708       
 0.47423        19.2525        374.026        3.36631        0.955128       
 0.466432       19.1089        368.49         3.33935        0.955608       
 0.458608       19.2983        375.197        2.77062        0.955758       
 0.450703       19.0664        366.263        2.73384        0.958968       
 0.443619       19.1766        370.569        2.82705        0.958658       
 0.437495       19.2751        373.401        1.87017        0.958348       
 0.432945       19.1307        368.318        2.33588        0.960038       
 0.428185       18.8183        356.484        2.35394        0.960558       
 0.423305       19.0007        363.544        2.5188         0.960928       
 0.419103       19.0255        364.434        2.46444        0.961548       
 0.415537       18.997         362.725        1.83968        0.961428       
 0.413443       19.0816        366.161        2.05508        0.960598       
 0.410565       19.0153        363.752        2.16987        0.962078       
 0.41069        18.793         355.274        2.09749        0.961338       
 0.408109       19.0215        363.488        1.67109        0.961288       
 0.405992       18.9081        359.6          2.08396        0.963149       
 0.40321        18.8674        358.023        2.04638        0.963229       
 0.402227       19.0454        364.513        1.78729        0.961978       
 0.399707       18.9538        360.957        1.70974        0.962478       
 0.397514       18.8973        358.936        1.82908        0.962198       
 0.397183       18.8464        357.069        1.88217        0.962308       
 0.39654        19.0902        365.958        1.52041        0.963329       
 0.396892       19.1839        369.763        1.73924        0.962919       
 0.397851       18.9004        359.066        1.83978        0.961788       
 0.398213       18.9001        359.082        1.86807        0.961158       
 0.397379       18.8868        358.843        2.1322         0.964109       
 0.396002       19.0476        364.524        1.71188        0.962559       
 0.394901       18.8075        355.558        1.83748        0.962509       
 0.393358       18.9074        359.061        1.56978        0.963469       
 0.391941       19.216         370.988        1.73359        0.963079       
 0.391123       19.1957        370.18         1.70713        0.963149       
 0.392192       19.1252        367.669        1.89476        0.962539       
 0.393747       18.9983        362.411        1.47595        0.964329       
 0.394989       19.0793        365.605        1.58542        0.961548       
 0.394418       18.9544        361.051        1.78169        0.962979       
 0.393432       19.1074        366.814        1.7224         0.962679       
 0.394584       18.8382        356.725        1.84603        0.963749       
 0.392711       19.1113        366.798        1.55588        0.962298       
 0.393041       18.9154        359.522        1.7299         0.962619       
 0.393985       19.0296        363.893        1.76695        0.963759       
 0.395253       18.9597        361.058        1.58733        0.963339       
 0.394602       18.9246        359.849        1.7085         0.961978       
 0.393375       19.0073        363.047        1.76939        0.962899       
 0.392486       18.9958        362.609        1.76964        0.962909       
 0.391859       18.8985        358.784        1.63074        0.963099       
 0.390921       18.9195        359.685        1.73598        0.962999       
 0.391535       19.2331        371.714        1.80247        0.963259       
 0.394064       18.9763        361.686        1.58526        0.963149       
 0.392446       18.889         358.705        1.90967        0.962589       
 0.391066       19.2906        373.771        1.64394        0.964059       
 0.392841       19.1101        366.727        1.53207        0.963419       
 0.393543       19.0701        365.388        1.72071        0.962719       
 0.394107       19.0242        363.678        1.75788        0.962939       
 0.395757       19.0492        364.765        1.89327        0.962649       
 0.395603       19.0832        366.052        1.88473        0.962649       
 0.396047       19.0466        364.444        1.67221        0.963529       
 0.395611       19.0811        365.772        1.68325        0.961938       
 0.396333       18.8974        359.028        1.91489        0.963489       
 0.396803       19.018         363.559        1.87667        0.961658       
 0.397368       18.9861        362.291        1.8188         0.962969       
 0.396985       18.8586        357.546        1.90088        0.961918       
 0.396086       19.1567        368.722        1.74469        0.963169       
 0.396071       19.0332        364.064        1.80133        0.962619       
 0.396305       18.9239        359.794        1.67871        0.961828       
 0.395276       18.8598        357.388        1.69553        0.963119       
 0.394279       18.888         358.423        1.66737        0.962519       
 0.39452        19.0245        363.546        1.61626        0.961798       
 0.394465       18.9271        359.848        1.61207        0.963509       
 0.392357       18.9756        361.747        1.67401        0.962729       
 0.392305       18.9887        362.114        1.54377        0.963069       
 0.392157       19.1342        367.986        1.86901        0.962529       
 0.394459       19.1099        366.962        1.77274        0.962338       
 0.395835       18.8465        356.931        1.74066        0.962068       
 0.3936         18.8627        357.321        1.51969        0.962829       
 0.392254       18.9049        359.26         1.86583        0.962178       
 0.391369       18.8621        357.491        1.71071        0.962969       
 0.39057        19.0127        363.217        1.73263        0.962138       
 0.390263       19.1044        366.68         1.70229        0.963079       
 0.389629       19.0003        362.663        1.65279        0.962388       
 0.389741       19.1649        368.99         1.69691        0.963329       
 0.392634       18.9729        361.793        1.82297        0.962318       
 0.393851       19.0224        363.725        1.87163        0.962939       
 0.394533       18.9066        359.345        1.88568        0.963619       
 0.393395       19.0031        362.969        1.84957        0.962088       
 0.392866       19.1288        367.431        1.52158        0.962979       
 0.392766       19.1904        370.047        1.77476        0.962619       
 0.392989       19.0117        362.884        1.43788        0.962959       
 0.393395       19.0804        365.631        1.56811        0.962559       
 0.394683       18.9301        360.155        1.80779        0.963579       
 0.393843       18.9147        359.073        1.30855        0.963109       
 0.392549       18.8072        355.943        2.23268        0.962478       
 0.390089       18.9577        360.77         1.37738        0.963719       
 0.387229       18.9958        362.188        1.34974        0.963689       
 0.38733        18.9076        358.978        1.48258        0.964069       
 0.38602        19.1288        367.554        1.64368        0.962939       
 0.388795       18.9495        360.812        1.7297         0.964389       
 0.388995       19.0356        363.947        1.59118        0.962979       
Execution time: 32.499678

