  -- System info -- 
 Number of particles  : 10
 Number of dimensions : 3
 Number of Metropolis steps run : 10^4.99998
 Number of equilibration steps  : 10^4
 Number of parameters : 1

  -- Results -- 
 Param_1        E              E^2            VAR            % Accepted Transitions
 0.5            19.4507        382.561        4.23118        0.954888       
 0.490444       19.5486        385.692        3.54553        0.954728       
 0.482402       19.3357        377.121        3.2507         0.954598       
 0.475481       19.3232        376.687        3.29951        0.954678       
 0.466894       19.2623        374.164        3.12931        0.955768       
 0.459382       19.2781        374.493        2.84628        0.956038       
 0.451311       19.2035        371.439        2.66295        0.958438       
 0.444643       19.186         370.614        2.51206        0.957908       
 0.439873       19.1955        370.654        2.18643        0.958528       
 0.43477        19.1943        370.801        2.38139        0.959388       
 0.430786       18.9692        362.271        2.43934        0.960608       
 0.425871       19.1604        369.732        2.61009        0.960398       
 0.422833       19.125         368.1          2.33572        0.961258       
 0.419762       19.1309        367.917        1.92508        0.960228       
 0.417373       19.1041        367.112        2.14627        0.960478       
 0.413864       19.1002        366.699        1.88017        0.961418       
 0.413324       18.8393        357.329        2.40806        0.961518       
 0.41068        18.9302        360.156        1.80429        0.960588       
 0.407683       18.9771        362.094        1.96202        0.963179       
 0.40653        18.9837        362.51         2.12715        0.963239       
 0.405091       19.1149        367.096        1.71508        0.961698       
 0.402956       18.9094        359.187        1.62149        0.962989       
 0.400768       18.8964        358.818        1.74428        0.961878       
 0.400581       18.7531        353.657        1.97935        0.962208       
 0.39932        18.9143        359.324        1.57439        0.962118       
 0.398827       19.0869        366.089        1.78072        0.963079       
 0.398874       18.9621        361.203        1.64264        0.961288       
 0.399279       18.8189        356.014        1.86305        0.961758       
 0.398243       19.0418        364.656        2.06582        0.963779       
 0.397212       19.0876        365.943        1.60772        0.962859       
 0.39677        18.753         353.513        1.8386         0.962378       
 0.395156       18.9524        360.747        1.55244        0.963719       
 0.393344       19.2384        371.853        1.73709        0.962989       
 0.392442       19.2161        370.909        1.65255        0.962609       
 0.392511       19.0204        363.706        1.92819        0.963159       
 0.392155       19             362.564        1.56507        0.964619       
 0.393336       19.0576        364.859        1.66647        0.961818       
 0.392059       18.9429        360.388        1.55538        0.962709       
 0.390565       19.0376        364.186        1.7563         0.963179       
 0.391588       18.7511        353.245        1.64164        0.964369       
 0.389362       19.1379        367.995        1.734          0.963119       
 0.390667       18.9193        359.564        1.62305        0.962849       
 0.390711       19.0555        364.728        1.61666        0.964119       
 0.390932       19.0074        362.931        1.6494         0.963299       
 0.390985       18.9584        361.107        1.68467        0.963249       
 0.389962       18.9239        359.85         1.73532        0.963379       
 0.389218       18.9708        361.497        1.60721        0.962589       
 0.389287       18.8203        355.86         1.65628        0.963299       
 0.38805        19.0077        363.079        1.78791        0.963369       
 0.390281       19.0913        366.089        1.61108        0.963229       
 0.39174        19.0165        363.28         1.6532         0.963299       
 0.391133       18.9458        360.618        1.67396        0.962869       
 0.389863       19.0895        366.288        1.87846        0.963989       
 0.39072        19.1351        367.719        1.56678        0.963409       
 0.392405       18.9779        361.777        1.61588        0.963719       
 0.390852       19.0559        364.849        1.72331        0.962659       
 0.393706       19.0428        364.366        1.73813        0.962458       
 0.393406       19.1326        367.905        1.84987        0.962969       
 0.39361        19.0878        366.051        1.70808        0.963009       
 0.393294       19.0452        364.486        1.76521        0.961848       
 0.394039       18.9832        362.163        1.80234        0.963569       
 0.394451       19.017         363.433        1.78598        0.962288       
 0.395144       19.1276        367.49         1.62632        0.963609       
 0.395416       18.8202        356.093        1.89445        0.962739       
 0.39472        19.0318        364.019        1.80962        0.962699       
 0.394695       19.0609        365.049        1.73039        0.963199       
 0.394939       18.9683        361.551        1.75404        0.961538       
 0.394093       18.9772        361.674        1.53941        0.962659       
 0.393477       18.9201        359.724        1.75302        0.962509       
 0.39374        18.9671        361.524        1.77285        0.962408       
 0.392681       18.8997        358.685        1.48443        0.963749       
 0.390972       18.9436        360.549        1.68836        0.963069       
 0.391596       19.0182        363.423        1.73263        0.962759       
 0.392308       19.1854        369.925        1.84477        0.962749       
 0.395271       19.0858        366.043        1.77503        0.961948       
 0.396755       18.8464        356.714        1.5289         0.961698       
 0.395038       18.9605        361.101        1.60193        0.962649       
 0.394249       18.9426        360.571        1.74893        0.962168       
 0.393732       18.8745        357.9          1.65431        0.963429       
 0.392297       18.9936        362.489        1.7322         0.961788       
 0.391953       19.1956        370.001        1.53064        0.962879       
 0.391303       18.9817        362.073        1.76814        0.962649       
 0.391058       19.0751        365.455        1.59648        0.962599       
 0.392466       19.056         364.979        1.8475         0.962889       
 0.394507       18.9709        361.451        1.55811        0.962248       
 0.394251       19.1116        367.105        1.85231        0.963429       
 0.395899       19.0436        364.334        1.67391        0.962278       
 0.395512       19.0892        366.032        1.63575        0.962238       
 0.394971       18.9985        362.971        2.02927        0.962098       
 0.394321       19.0269        363.535        1.51282        0.962789       
 0.394393       18.9864        362.127        1.64133        0.962218       
 0.395326       19.0095        363.115        1.75294        0.963629       
 0.394581       18.9895        362.04         1.43962        0.962659       
 0.393815       18.9788        362.174        1.98084        0.962649       
 0.392153       18.8754        357.705        1.42386        0.964099       
 0.389727       19.1112        366.813        1.5746         0.963569       
 0.390733       18.9824        361.829        1.49914        0.964109       
 0.389164       19.0451        364.288        1.5699         0.962318       
 0.389322       18.93          360.272        1.92571        0.964439       
 0.390166       18.8326        356.323        1.65757        0.963439       
Execution time: 32.306075

