  -- System info -- 
 Number of particles  : 50
 Number of dimensions : 3
 Number of Metropolis steps run : 10^4.99998
 Number of equilibration steps  : 10^4
 Number of parameters : 1

  -- Results -- 
 Param_1        E              E^2            VAR            % Accepted Transitions
 0.5            97.0276        9433.81        19.4477        0.953618       
 0.492462       98.3482        9690.21        17.8456        0.954098       
 0.484636       96.8037        9389.87        18.916         0.954348       
 0.473501       95.6334        9161.66        15.9172        0.955138       
 0.464176       95.5172        9141.03        17.4967        0.956118       
 0.455001       96.3603        9297.89        12.583         0.956038       
 0.449375       95.3502        9103.93        12.2631        0.958988       
 0.444903       95.1477        9067.93        14.8416        0.958608       
 0.439311       95.8338        9193.71        9.59401        0.958148       
 0.433675       95.8318        9195.81        12.0796        0.959688       
 0.432357       94.3571        8915.2         11.9396        0.960278       
 0.429323       95.1074        9056.58        11.1525        0.960278       
 0.425506       95.5875        9147.99        11.0267        0.960758       
 0.425634       95.1265        9060.37        11.3129        0.960378       
 0.422927       95.9979        9224.58        8.98926        0.959578       
 0.419288       95.6747        9162.86        9.20778        0.961448       
 0.416791       95.1816        9067.74        8.19672        0.960608       
 0.415671       95.0402        9042.76        10.1275        0.960368       
 0.411857       95.1658        9067.6         11.0649        0.962068       
 0.411763       94.3297        8906.78        8.68578        0.962098       
 0.404465       94.5801        8955.31        9.91019        0.961398       
 0.40139        95.0899        9052.89        10.8077        0.961938       
 0.398484       95.2372        9077.3         7.16973        0.962308       
 0.397135       94.8939        9013           8.15458        0.962318       
 0.39311        94.8979        9014.09        8.4855         0.963539       
 0.392211       95.7934        9186.28        9.89726        0.963279       
 0.394535       95.2533        9079.58        6.39349        0.962188       
 0.39387        95.2025        9071.29        7.7681         0.961728       
 0.390786       94.1835        8880.05        9.51691        0.964259       
 0.388519       94.384         8914.87        6.52931        0.963179       
 0.38566        94.7285        8981           7.50208        0.963349       
 0.38643        94.7456        8984.65        7.92084        0.964389       
 0.385786       94.252         8892.2         8.76348        0.963889       
 0.386806       94.9753        9026.45        6.14968        0.963629       
 0.387781       95.2415        9079.6         8.65732        0.963399       
 0.388927       95.2386        9078.68        8.29676        0.964539       
 0.386927       96.0892        9242.76        9.62002        0.962619       
 0.386726       94.7115        8979.02        8.75247        0.963819       
 0.387763       94.726         8979.47        6.45059        0.963519       
 0.387107       94.7422        8983.25        7.15986        0.964209       
 0.387827       94.6144        8961.08        9.18896        0.963079       
 0.386309       95.3065        9091.41        8.08148        0.962739       
 0.386164       95.7045        9167.18        7.82298        0.964369       
 0.38853        94.7368        8985.95        10.884         0.963869       
 0.389779       94.8816        9008.34        5.82432        0.962228       
 0.388724       95.6209        9148.92        5.56765        0.962819       
 0.387876       94.919         9018.59        8.97041        0.963279       
 0.389613       94.9042        9012.35        5.55508        0.963539       
 0.387548       94.389         8916.43        7.14845        0.962709       
 0.386904       94.6037        8958.66        8.8018         0.963559       
 0.390469       94.7646        8987.84        7.51501        0.963719       
 0.389007       95.0662        9045.48        7.90196        0.962809       
 0.386226       95.1409        9059.93        8.13977        0.964399       
 0.390309       94.959         9025.14        7.91661        0.963319       
 0.389389       95.257         9082.84        8.94856        0.963409       
 0.390784       95.2983        9089.45        7.67983        0.964069       
 0.392253       96.1058        9243.74        7.41559        0.962368       
 0.393977       95.6594        9160.93        10.2197        0.962769       
 0.396601       95.3647        9101.54        7.11014        0.963219       
 0.393947       94.7704        8988.7         7.2683         0.962458       
 0.39448        94.9047        9015.89        8.99698        0.963889       
 0.393233       96.0358        9230.08        7.20803        0.962488       
 0.391519       93.886         8822.34        7.75132        0.963329       
 0.389645       94.6354        8963.18        7.30868        0.962629       
 0.388587       94.6994        8977.26        9.28435        0.963749       
 0.390695       95.0472        9043.74        9.76472        0.963229       
 0.391302       94.9055        9015.97        8.91774        0.962048       
 0.389938       94.5618        8949.76        7.83198        0.963259       
 0.389085       94.192         8878.38        6.23817        0.963259       
 0.390484       95.0818        9048.4         7.85181        0.962268       
 0.391817       93.9481        8831.72        5.47921        0.963809       
 0.390768       94.8483        9004.6         8.39836        0.963409       
 0.389307       95.6181        9150.96        8.13837        0.963449       
 0.389202       95.702         9165.49        6.61103        0.963029       
 0.392233       94.9403        9020.34        6.67088        0.962448       
 0.3916         93.9944        8842.26        7.32086        0.962669       
 0.390739       94.6166        8962.85        10.5404        0.963389       
 0.392855       94.1195        8866.33        7.84734        0.962248       
 0.392752       94.3263        8906.14        8.70114        0.963419       
 0.389077       94.8531        9004.51        7.40737        0.962358       
 0.388852       94.3262        8904.45        7.01627        0.963489       
 0.388643       94.3172        8906.83        11.1027        0.962559       
 0.390257       94.9827        9030.5         8.79673        0.963069       
 0.38893        95.4644        9125.31        11.856         0.963329       
 0.390284       95.3947        9107.5         7.35088        0.963649       
 0.389967       95.6295        9152.53        7.5324         0.963839       
 0.388097       94.5048        8937.58        6.41742        0.962529       
 0.387156       94.9452        9022.98        8.39827        0.962849       
 0.387874       95.105         9054.11        9.147          0.963109       
 0.392005       95.4114        9111.42        8.08373        0.963349       
 0.393634       95.3537        9101.16        8.83351        0.962198       
 0.395318       95.5046        9130.43        9.30357        0.963149       
 0.394409       95.2403        9080.69        9.97474        0.962829       
 0.391697       94.932         9021.56        9.4831         0.963309       
 0.391164       95.3768        9105.23        8.50063        0.963099       
 0.393469       94.4904        8937.92        9.4757         0.962939       
 0.389906       94.8394        9001.79        7.28373        0.963289       
 0.387757       94.3382        8909.06        9.37442        0.962909       
 0.388124       94.335         8908.09        8.99212        0.964559       
 0.389165       95.214         9075.34        9.63107        0.963429       
Execution time: 115.186867

