              r        Density
      0.0500000        6349.00
       0.100000        44362.0
       0.150000        121527.
       0.200000        230299.
       0.250000        372812.
       0.300000        546421.
       0.350000        739227.
       0.400000        964480.
       0.450000    1.20954E+06
       0.500000    1.46203E+06
       0.550000    1.73582E+06
       0.600000    1.98203E+06
       0.650000    2.25354E+06
       0.700000    2.50000E+06
       0.750000    2.74890E+06
       0.800000    2.96594E+06
       0.850000    3.18707E+06
       0.900000    3.48707E+06
       0.950000    3.64611E+06
        1.00000    3.62876E+06
        1.05000    3.72889E+06
        1.10000    3.79547E+06
        1.15000    3.80389E+06
        1.20000    3.78925E+06
        1.25000    3.75747E+06
        1.30000    3.70429E+06
        1.35000    3.60458E+06
        1.40000    3.48645E+06
        1.45000    3.35293E+06
        1.50000    3.19594E+06
        1.55000    3.00728E+06
        1.60000    2.83807E+06
        1.65000    2.64559E+06
        1.70000    2.45387E+06
        1.75000    2.26423E+06
        1.80000    2.06461E+06
        1.85000    1.87412E+06
        1.90000    1.68256E+06
        1.95000    1.52006E+06
        2.00000    1.35313E+06
        2.05000    1.20366E+06
        2.10000    1.05837E+06
        2.15000        920094.
        2.20000        801256.
        2.25000        696204.
        2.30000        599546.
        2.35000        519025.
        2.40000        433491.
        2.45000        365005.
        2.50000        307429.
        2.55000        257650.
        2.60000        213944.
        2.65000        173657.
        2.70000        144376.
        2.75000        113981.
        2.80000        93573.0
        2.85000        73801.0
        2.90000        59673.0
        2.95000        48547.0
        3.00000        37696.0
        3.05000        27856.0
        3.10000        22152.0
        3.15000        18730.0
        3.20000        13624.0
        3.25000        11276.0
        3.30000        7817.00
        3.35000        6216.00
        3.40000        4665.00
        3.45000        3219.00
        3.50000        2117.00
        3.55000        1633.00
        3.60000        1119.00
        3.65000        1027.00
        3.70000        773.000
        3.75000        617.000
        3.80000        300.000
        3.85000        250.000
        3.90000        150.000
        3.95000        188.000
        4.00000        119.000
