  -- System info -- 
 Number of particles  : 10
 Number of dimensions : 3
 Number of Metropolis steps run : 10^4.99998
 Number of equilibration steps  : 10^4
 Number of parameters : 1

  -- Results -- 
 Param_1        E              E^2            VAR            % Accepted Transitions
 0.5            16.4022        269.17         0.137072       0.956548       
 0.498283       16.3839        268.464        0.0328022      0.956398       
 0.497248       16.3878        268.598        0.0384453      0.956348       
 0.496136       16.4215        269.707        0.0430116      0.954838       
 0.49518        16.3856        268.529        0.0414526      0.955958       
 0.494247       16.4149        269.482        0.0323798      0.956078       
 0.493268       16.4032        269.701        0.636765       0.957338       
 0.492429       16.6249        510.268        233.882        0.954738       
 0.49125        16.3898        268.652        0.0266578      0.956658       
 0.490716       16.4025        269.078        0.0356803      0.956938       
 0.490044       16.4092        269.295        0.0329116      0.957328       
 0.48945        16.3971        268.891        0.0270607      0.957228       
 0.488874       16.4095        269.301        0.0304031      0.956028       
 0.488418       16.4106        269.332        0.0240429      0.958048       
 0.487946       16.4077        269.302        0.0900192      0.956868       
 0.487532       16.4127        269.402        0.0244345      0.958708       
 0.48725        16.4081        269.247        0.0196617      0.957718       
 0.48696        16.4058        269.17         0.0210681      0.957928       
 0.486632       16.4152        269.485        0.0266552      0.957228       
 0.486383       16.4141        269.45         0.0262706      0.956888       
 0.486083       16.4176        269.567        0.0289091      0.957318       
 0.485858       16.4195        269.623        0.0235241      0.956758       
 0.485663       16.4182        269.578        0.0194115      0.957208       
 0.485396       16.41          269.305        0.0180473      0.956338       
 0.485225       16.4074        269.224        0.0199164      0.958428       
 0.485035       16.4174        269.555        0.0228265      0.956638       
 0.484842       16.4196        269.643        0.0405721      0.956748       
 0.48464        16.4109        269.335        0.0191239      0.956568       
 0.484478       19.7422        535.908        146.153        0.942488       
 0.466602       16.485         271.798        0.0430475      0.959158       
 0.467987       16.4507        270.657        0.0303514      0.958148       
 0.469011       16.4426        270.387        0.0285605      0.958068       
 0.469877       16.4983        272.25         0.0547825      0.959448       
 0.471189       16.4639        271.096        0.0340911      0.959248       
 0.472558       16.4374        270.221        0.0341888      0.957548       
 0.473428       16.4448        270.457        0.0258101      0.958268       
 0.474148       16.4303        269.985        0.0293036      0.958008       
 0.474868       16.445         270.536        0.0975992      0.958598       
 0.475675       16.4382        270.239        0.0239393      0.958448       
 0.476433       16.4282        269.938        0.0528248      0.957658       
 0.476873       16.4331        270.067        0.0211353      0.957958       
 0.477361       16.4316        270.017        0.0204333      0.958038       
 0.477725       16.4358        270.156        0.0215765      0.959178       
 0.478401       16.4413        270.341        0.0233109      0.958968       
 0.478888       16.4252        269.811        0.022608       0.958238       
 0.47917        16.4202        269.644        0.022292       0.957988       
 0.479421       16.4227        269.731        0.024026       0.959228       
 0.479667       16.4303        269.984        0.0291091      0.958618       
 0.48006        16.4147        269.467        0.0259335      0.958128       
 0.480304       16.4244        269.779        0.0190919      0.958438       
 0.480515       16.4147        269.458        0.0159796      0.958448       
 0.48068        16.4285        269.925        0.0308205      0.957358       
 0.480894       16.4277        269.914        0.0434606      0.956988       
 0.481096       16.4308        269.991        0.0188714      0.958118       
 0.481258       16.4284        269.913        0.0199611      0.957728       
 0.481414       16.4271        269.872        0.0210925      0.957798       
 0.48168        16.4211        269.671        0.0203026      0.957278       
 0.48187        16.4329        270.062        0.0206973      0.956778       
 0.481897       16.4188        269.618        0.0420967      0.957748       
 0.481941       16.4151        269.475        0.0200072      0.957088       
 0.481996       40.2331        8756.4         7137.7         0.942578       
 0.406489       16.8142        283.281        0.562566       0.962669       
 0.413894       16.8794        285.502        0.587215       0.963259       
 0.421723       16.7596        281.246        0.360365       0.962268       
 0.427448       16.7734        281.72         0.371654       0.962749       
 0.433959       16.5794        275.13         0.2547         0.961678       
 0.438867       16.6069        275.987        0.197475       0.960718       
 0.442876       16.5652        274.544        0.139123       0.960868       
 0.445903       16.6117        276.101        0.154248       0.961468       
 0.44939        16.5163        272.905        0.118614       0.959268       
 0.452405       16.4609        271.07         0.109156       0.959508       
 0.454237       16.5308        273.38         0.113839       0.958998       
 0.456694       16.4992        272.291        0.0660117      0.959188       
 0.458617       16.5085        272.607        0.0783815      0.960238       
 0.461092       16.489         271.949        0.0629751      0.960428       
 0.463089       16.4473        270.553        0.0387547      0.959378       
 0.464398       16.4342        270.129        0.0466001      0.958808       
 0.465598       16.4468        270.536        0.0378803      0.958188       
 0.466894       16.4714        271.35         0.0427493      0.959898       
 0.468264       16.4789        271.604        0.0500325      0.957778       
 0.469426       16.4788        271.588        0.0362689      0.958978       
 0.470652       16.4448        270.465        0.0330619      0.957008       
 0.471658       16.458         270.926        0.0597187      0.958148       
 0.472562       16.4517        270.688        0.0304411      0.957458       
 0.473503       16.453         270.751        0.04907        0.957578       
 0.474392       16.44          270.297        0.0236551      0.958718       
 0.475144       16.4372        270.203        0.0231175      0.956658       
 0.475668       16.4251        269.811        0.0282         0.956698       
 0.476076       16.4342        270.115        0.0325307      0.957778       
 0.476642       16.4332        270.083        0.0323364      0.957178       
 0.47703        16.4276        270.029        0.163234       0.955928       
 0.477571       16.4314        270.016        0.0255379      0.957668       
 0.477893       16.4319        270.042        0.033722       0.957558       
 0.478283       16.4421        270.359        0.0173886      0.959118       
 0.478749       16.4077        269.248        0.0356544      0.958438       
 0.478974       16.428         269.902        0.0229264      0.957618       
 0.479203       16.4379        270.227        0.0216379      0.957108       
 0.479533       16.4249        269.795        0.0187682      0.958468       
 0.479915       16.4218        269.698        0.0221506      0.958818       
 0.480252       16.4172        269.542        0.0169387      0.957808       
Execution time: 88.036493

