              r        Density
      0.0500000        2589.00
       0.100000        16765.0
       0.150000        44867.0
       0.200000        87471.0
       0.250000        143652.
       0.300000        207836.
       0.350000        283020.
       0.400000        362908.
       0.450000        452410.
       0.500000        544377.
       0.550000        634376.
       0.600000        724300.
       0.650000        814668.
       0.700000        895161.
       0.750000        965186.
       0.800000    1.03809E+06
       0.850000    1.09419E+06
       0.900000    1.14421E+06
       0.950000    1.17347E+06
        1.00000    1.19779E+06
        1.05000    1.20840E+06
        1.10000    1.21065E+06
        1.15000    1.19688E+06
        1.20000    1.18134E+06
        1.25000    1.14482E+06
        1.30000    1.10297E+06
        1.35000    1.05580E+06
        1.40000    1.00460E+06
        1.45000        948847.
        1.50000        883203.
        1.55000        820830.
        1.60000        758811.
        1.65000        695176.
        1.70000        631527.
        1.75000        574286.
        1.80000        514289.
        1.85000        456328.
        1.90000        408468.
        1.95000        359676.
        2.00000        313474.
        2.05000        273574.
        2.10000        235589.
        2.15000        203834.
        2.20000        171008.
        2.25000        142921.
        2.30000        123175.
        2.35000        100970.
        2.40000        85938.0
        2.45000        70293.0
        2.50000        57618.0
        2.55000        47445.0
        2.60000        39360.0
        2.65000        31565.0
        2.70000        25430.0
        2.75000        20317.0
        2.80000        15944.0
        2.85000        13525.0
        2.90000        10195.0
        2.95000        7954.00
        3.00000        5945.00
        3.05000        4674.00
        3.10000        3484.00
        3.15000        3250.00
        3.20000        2236.00
        3.25000        1598.00
        3.30000        1174.00
        3.35000        923.000
        3.40000        605.000
        3.45000        499.000
        3.50000        302.000
        3.55000        334.000
        3.60000        180.000
        3.65000        118.000
        3.70000        100.000
        3.75000        91.0000
        3.80000        31.0000
        3.85000        33.0000
        3.90000        25.0000
        3.95000        9.00000
        4.00000        3.00000
