              r        Density
      0.0500000        1762.00
       0.100000        12090.0
       0.150000        32180.0
       0.200000        61712.0
       0.250000        99478.0
       0.300000        146739.
       0.350000        197693.
       0.400000        255894.
       0.450000        314654.
       0.500000        376281.
       0.550000        439513.
       0.600000        500606.
       0.650000        563388.
       0.700000        617398.
       0.750000        665988.
       0.800000        712720.
       0.850000        749182.
       0.900000        780937.
       0.950000        804810.
        1.00000        812283.
        1.05000        819942.
        1.10000        813438.
        1.15000        804387.
        1.20000        785276.
        1.25000        759476.
        1.30000        734326.
        1.35000        700961.
        1.40000        660861.
        1.45000        623577.
        1.50000        581508.
        1.55000        537744.
        1.60000        492820.
        1.65000        449492.
        1.70000        408953.
        1.75000        364544.
        1.80000        327971.
        1.85000        288437.
        1.90000        253129.
        1.95000        224037.
        2.00000        194716.
        2.05000        168347.
        2.10000        144376.
        2.15000        123525.
        2.20000        105390.
        2.25000        89035.0
        2.30000        74263.0
        2.35000        62022.0
        2.40000        50480.0
        2.45000        41174.0
        2.50000        34277.0
        2.55000        27804.0
        2.60000        22781.0
        2.65000        18095.0
        2.70000        14643.0
        2.75000        11674.0
        2.80000        9127.00
        2.85000        7498.00
        2.90000        5851.00
        2.95000        4363.00
        3.00000        3438.00
        3.05000        2589.00
        3.10000        1809.00
        3.15000        1513.00
        3.20000        1148.00
        3.25000        871.000
        3.30000        695.000
        3.35000        493.000
        3.40000        432.000
        3.45000        300.000
        3.50000        259.000
        3.55000        173.000
        3.60000        131.000
        3.65000        116.000
        3.70000        71.0000
        3.75000        67.0000
        3.80000        43.0000
        3.85000        50.0000
        3.90000        39.0000
        3.95000        54.0000
        4.00000        16.0000
