              r        Density
      0.0500000        9714.00
       0.100000        75646.0
       0.150000        203704.
       0.200000        392515.
       0.250000        634305.
       0.300000        931350.
       0.350000    1.27544E+06
       0.400000    1.64114E+06
       0.450000    2.07159E+06
       0.500000    2.52632E+06
       0.550000    2.98445E+06
       0.600000    3.45616E+06
       0.650000    3.95169E+06
       0.700000    4.42291E+06
       0.750000    4.86115E+06
       0.800000    5.33859E+06
       0.850000    5.73228E+06
       0.900000    6.14505E+06
       0.950000    6.46548E+06
        1.00000    6.76505E+06
        1.05000    6.96510E+06
        1.10000    7.17319E+06
        1.15000    7.28142E+06
        1.20000    7.37644E+06
        1.25000    7.39023E+06
        1.30000    7.32488E+06
        1.35000    7.20661E+06
        1.40000    7.04561E+06
        1.45000    6.84542E+06
        1.50000    6.61206E+06
        1.55000    6.33101E+06
        1.60000    6.04074E+06
        1.65000    5.72433E+06
        1.70000    5.38722E+06
        1.75000    5.04012E+06
        1.80000    4.63558E+06
        1.85000    4.27227E+06
        1.90000    3.91816E+06
        1.95000    3.53781E+06
        2.00000    3.18948E+06
        2.05000    2.87325E+06
        2.10000    2.54369E+06
        2.15000    2.25904E+06
        2.20000    2.00040E+06
        2.25000    1.73503E+06
        2.30000    1.51101E+06
        2.35000    1.29385E+06
        2.40000    1.10642E+06
        2.45000        959294.
        2.50000        817476.
        2.55000        684641.
        2.60000        568021.
        2.65000        471947.
        2.70000        398141.
        2.75000        319715.
        2.80000        257009.
        2.85000        208877.
        2.90000        169773.
        2.95000        134289.
        3.00000        106435.
        3.05000        89541.0
        3.10000        65538.0
        3.15000        55496.0
        3.20000        45743.0
        3.25000        33137.0
        3.30000        28222.0
        3.35000        19120.0
        3.40000        14794.0
        3.45000        11275.0
        3.50000        10119.0
        3.55000        6339.00
        3.60000        4594.00
        3.65000        3385.00
        3.70000        2939.00
        3.75000        2531.00
        3.80000        1557.00
        3.85000        1521.00
        3.90000        1321.00
        3.95000        959.000
        4.00000        420.000
