              r        Density
      0.0500000        10352.0
       0.100000        75496.0
       0.150000        195066.
       0.200000        379211.
       0.250000        611125.
       0.300000        884832.
       0.350000    1.19547E+06
       0.400000    1.53401E+06
       0.450000    1.86442E+06
       0.500000    2.21035E+06
       0.550000    2.54338E+06
       0.600000    2.84374E+06
       0.650000    3.12978E+06
       0.700000    3.39530E+06
       0.750000    3.60722E+06
       0.800000    3.78502E+06
       0.850000    3.93566E+06
       0.900000    4.00971E+06
       0.950000    4.03968E+06
        1.00000    4.04368E+06
        1.05000    4.01257E+06
        1.10000    3.94239E+06
        1.15000    3.84294E+06
        1.20000    3.70028E+06
        1.25000    3.56075E+06
        1.30000    3.39785E+06
        1.35000    3.20082E+06
        1.40000    2.98917E+06
        1.45000    2.79670E+06
        1.50000    2.59956E+06
        1.55000    2.39940E+06
        1.60000    2.18556E+06
        1.65000    2.01010E+06
        1.70000    1.81290E+06
        1.75000    1.64334E+06
        1.80000    1.47904E+06
        1.85000    1.33474E+06
        1.90000    1.18668E+06
        1.95000    1.04660E+06
        2.00000        918220.
        2.05000        810827.
        2.10000        714002.
        2.15000        616764.
        2.20000        538037.
        2.25000        464609.
        2.30000        399186.
        2.35000        342574.
        2.40000        293595.
        2.45000        249502.
        2.50000        215248.
        2.55000        179772.
        2.60000        152059.
        2.65000        126373.
        2.70000        105053.
        2.75000        85264.0
        2.80000        70442.0
        2.85000        57403.0
        2.90000        45690.0
        2.95000        38295.0
        3.00000        30096.0
        3.05000        23535.0
        3.10000        18563.0
        3.15000        14984.0
        3.20000        12430.0
        3.25000        9460.00
        3.30000        6909.00
        3.35000        5970.00
        3.40000        4573.00
        3.45000        3768.00
        3.50000        3233.00
        3.55000        2138.00
        3.60000        1858.00
        3.65000        1161.00
        3.70000        966.000
        3.75000        816.000
        3.80000        600.000
        3.85000        412.000
        3.90000        305.000
        3.95000        232.000
        4.00000        92.0000
