  -- System info -- 
 Number of particles  : 10
 Number of dimensions : 3
 Number of Metropolis steps run : 10^4.99998
 Number of equilibration steps  : 10^4
 Number of parameters : 1

  -- Results -- 
 Param_1        E              E^2            VAR            % Accepted Transitions
 0.5            19.6485        390.4          4.33718        0.955418       
 0.489757       19.6837        391.353        3.90537        0.954638       
 0.4806         19.4855        383.086        3.40033        0.955788       
 0.47331        19.4006        379.72         3.33813        0.956038       
 0.46513        19.2964        375.613        3.26146        0.956128       
 0.457314       19.4578        381.42         2.81466        0.956868       
 0.449053       19.229         372.49         2.7338         0.959628       
 0.441916       19.3579        377.582        2.85398        0.958698       
 0.435929       19.4413        379.899        1.93569        0.959438       
 0.432024       19.348         376.832        2.4858         0.960428       
 0.426942       19.3145        377.992        4.94302        0.947228       
 0.420152       19.2133        371.689        2.53875        0.962068       
 0.416625       19.26          373.357        2.41021        0.962809       
 0.413128       19.2381        371.81         1.70671        0.961338       
 0.4114         19.2769        373.609        2.00896        0.961468       
 0.407999       19.203         370.786        2.03161        0.962649       
 0.407744       19.046         364.93         2.18053        0.962438       
 0.405837       19.1725        369.279        1.69585        0.961508       
 0.404047       19.2128        371.163        2.03187        0.963879       
 0.403212       19.1206        367.587        1.98918        0.963629       
 0.401978       19.3158        374.793        1.69196        0.962789       
 0.399879       19.1922        370.014        1.6737         0.963159       
 0.398177       19.1817        369.713        1.77659        0.962959       
 0.397601       19.0629        365.326        1.93389        0.962689       
 0.396834       19.2394        371.728        1.57215        0.963579       
 0.397447       19.4324        379.362        1.74575        0.963039       
 0.398629       19.2507        372.347        1.75713        0.962058       
 0.399128       19.0333        364.148        1.8823         0.961988       
 0.397946       19.2016        370.866        2.16598        0.964189       
 0.396779       19.245         372.04         1.67136        0.963539       
 0.395637       18.9465        360.886        1.91469        0.962819       
 0.393757       19.0905        366.053        1.60689        0.964209       
 0.391894       19.4244        379.038        1.73221        0.963639       
 0.391382       19.3964        378.079        1.85848        0.963529       
 0.391502       19.274         373.597        2.11206        0.963889       
 0.392682       19.177         369.28         1.52317        0.965209       
 0.393811       19.3074        374.399        1.6244         0.962458       
 0.393738       19.1868        369.9          1.76833        0.963619       
 0.39295        19.4076        378.49         1.83383        0.963829       
 0.394584       19.0262        363.871        1.87586        0.964279       
 0.392666       19.2598        372.581        1.64203        0.963409       
 0.39242        19.1489        368.371        1.69226        0.963509       
 0.39281        19.2608        372.703        1.72458        0.964149       
 0.393919       19.139         368.002        1.69941        0.964359       
 0.392783       19.1165        367.084        1.6436         0.963099       
 0.391339       19.2329        371.653        1.74937        0.963139       
 0.390291       19.1958        370.291        1.81402        0.963479       
 0.390109       19.0796        365.698        1.66607        0.964229       
 0.388939       19.1732        369.348        1.73639        0.963999       
 0.390031       19.4535        380.189        1.74955        0.964039       
 0.392501       19.1203        367.154        1.56804        0.963559       
 0.390629       19.0617        365.241        1.89161        0.963579       
 0.388776       19.4908        381.549        1.65912        0.964409       
 0.390848       19.3544        376.188        1.59593        0.964179       
 0.392387       19.2464        372.192        1.76692        0.963579       
 0.392251       19.2421        372.017        1.75644        0.963609       
 0.394867       19.2641        372.951        1.84469        0.962649       
 0.394206       19.2537        372.652        1.94674        0.963739       
 0.394554       19.3203        374.848        1.57317        0.963469       
 0.394424       19.2536        372.47         1.76738        0.962869       
 0.394543       19.1213        367.517        1.89493        0.963439       
 0.395049       19.1836        369.844        1.83447        0.962438       
 0.394755       19.263         372.673        1.61139        0.963989       
 0.39478        19.0683        365.503        1.90197        0.962929       
 0.394139       19.2948        374.096        1.80736        0.963019       
 0.394048       19.2593        372.755        1.83318        0.963159       
 0.395009       19.1242        367.386        1.65239        0.962058       
 0.393845       19.0932        366.236        1.68485        0.963979       
 0.392441       19.0883        365.986        1.62473        0.963489       
 0.392577       19.2275        371.41         1.71491        0.963149       
 0.392573       19.0577        364.791        1.59604        0.964669       
 0.390295       19.1567        368.707        1.72944        0.963199       
 0.390685       19.2444        372.082        1.73522        0.963769       
 0.391133       19.3886        377.908        1.99008        0.963519       
 0.394621       19.2167        371.092        1.81196        0.963269       
 0.395545       19.0835        365.933        1.75372        0.962819       
 0.393574       19.0987        366.327        1.56456        0.963309       
 0.392244       19.1142        367.074        1.72111        0.963089       
 0.39107        19.0088        363.061        1.72765        0.963679       
 0.389456       19.1777        369.431        1.64557        0.962889       
 0.388729       19.3406        375.589        1.53181        0.963769       
 0.388068       19.2169        370.931        1.64308        0.963089       
 0.388437       19.3155        374.778        1.6905         0.963479       
 0.390825       19.1709        369.289        1.76556        0.962569       
 0.391702       19.2596        372.673        1.73983        0.963519       
 0.392351       19.1205        367.491        1.89804        0.964359       
 0.390745       19.2038        370.528        1.74154        0.963709       
 0.390411       19.3579        376.208        1.47819        0.963499       
 0.390471       19.3846        377.525        1.7623         0.962999       
 0.390824       19.2243        371.093        1.51859        0.963889       
 0.391312       19.2079        370.461        1.51623        0.962669       
 0.392364       19.1966        370.323        1.81533        0.964089       
 0.391846       19.133         367.378        1.30719        0.963849       
 0.390814       19.1361        368.308        2.11722        0.962949       
 0.388681       19.1362        367.557        1.36331        0.964859       
 0.38621        19.2193        370.707        1.32507        0.964479       
 0.386179       19.0947        366.141        1.53505        0.964229       
 0.384298       19.3231        375.036        1.65345        0.963779       
 0.387319       19.1893        370.02         1.79216        0.964969       
