  -- System info -- 
 Number of particles  : 10
 Number of dimensions : 3
 Number of Metropolis steps run : 10^4.99998
 Number of equilibration steps  : 10^4
 Number of parameters : 1

  -- Results -- 
 Param_1        E              E^2            VAR            % Accepted Transitions
 0.5            19.5779        387.916        4.62156        0.955138       
 0.489255       19.7326        393.185        3.80987        0.954808       
 0.480087       19.4749        382.505        3.23325        0.955768       
 0.473004       19.3913        379.406        3.3834         0.955928       
 0.465007       19.2673        374.601        3.37273        0.956198       
 0.457044       19.4441        380.832        2.75986        0.956768       
 0.449057       19.2247        372.357        2.76671        0.959758       
 0.441915       19.3215        376.289        2.96667        0.958968       
 0.435523       19.4398        379.798        1.89337        0.959228       
 0.430944       19.3057        375.153        2.44386        0.960718       
 0.425693       18.9947        363.141        2.34367        0.961088       
 0.42067        19.1814        370.461        2.53669        0.961658       
 0.416439       19.2509        372.947        2.34793        0.962819       
 0.413241       19.1656        369.127        1.8078         0.961568       
 0.410932       19.2958        374.339        2.01171        0.961538       
 0.408027       19.2144        371.402        2.20759        0.962889       
 0.408389       19.0004        363.095        2.07987        0.962058       
 0.406158       19.2052        370.509        1.67016        0.961978       
 0.404049       19.1087        367.231        2.08711        0.963659       
 0.401254       19.0914        366.467        1.98351        0.963389       
 0.400186       19.2636        372.835        1.75047        0.963289       
 0.397777       19.1623        368.869        1.67314        0.962949       
 0.395789       19.1185        367.366        1.84724        0.963049       
 0.395562       19.0506        364.795        1.86782        0.962959       
 0.394865       19.3198        374.732        1.47797        0.963659       
 0.395429       19.4028        378.175        1.70668        0.962989       
 0.396455       19.1099        367.058        1.8694         0.962488       
 0.397073       19.1102        367.114        1.91317        0.962248       
 0.396316       19.098         366.875        2.14146        0.964519       
 0.394883       19.259         372.639        1.72863        0.963319       
 0.393799       19.0367        364.233        1.83692        0.963099       
 0.39207        19.0934        366.092        1.53539        0.964369       
 0.390554       19.4279        379.176        1.73149        0.963419       
 0.389965       19.4069        378.35         1.72223        0.963599       
 0.390733       19.3314        375.658        1.95501        0.963549       
 0.392617       19.1966        370.01         1.50157        0.965369       
 0.393747       19.2792        373.27         1.58146        0.962078       
 0.393339       19.1567        368.802        1.8233         0.963779       
 0.392657       19.3506        376.216        1.77109        0.963619       
 0.394036       19.0531        364.901        1.87921        0.964519       
 0.392275       19.3424        375.685        1.55794        0.963189       
 0.392615       19.1333        367.771        1.68696        0.963399       
 0.393426       19.2091        370.845        1.85391        0.964309       
 0.394316       19.1474        368.266        1.64226        0.964319       
 0.393326       19.1152        367.064        1.67441        0.962829       
 0.391975       19.2081        370.707        1.7553         0.963049       
 0.390758       19.2098        370.827        1.81188        0.963589       
 0.39039        19.0982        366.317        1.57553        0.963899       
 0.389292       19.1174        367.257        1.78303        0.963929       
 0.389939       19.4487        380.067        1.81519        0.964159       
 0.392598       19.1858        369.639        1.54399        0.963719       
 0.390892       19.1234        367.591        1.88811        0.963409       
 0.389551       19.513         382.398        1.64156        0.964539       
 0.391581       19.3075        374.34         1.56263        0.963999       
 0.39228        19.2784        373.415        1.75981        0.963199       
 0.393037       19.2399        371.969        1.79479        0.963859       
 0.395017       19.2413        372.151        1.92294        0.962979       
 0.394332       19.284         373.813        1.94221        0.963839       
 0.394997       19.2536        372.395        1.6953         0.963979       
 0.394471       19.2985        374.107        1.67588        0.962889       
 0.395112       19.1154        367.326        1.92676        0.963839       
 0.395597       19.225         371.505        1.90338        0.962609       
 0.396046       19.1959        370.308        1.82671        0.963349       
 0.395625       19.0729        365.708        1.93164        0.962719       
 0.394683       19.3601        376.565        1.75316        0.963509       
 0.394703       19.2402        372.045        1.85876        0.962929       
 0.39513        19.1386        367.973        1.68836        0.962348       
 0.394091       19.0841        365.865        1.66093        0.963879       
 0.392917       19.1149        367.018        1.63948        0.963429       
 0.393111       19.2305        371.443        1.63248        0.963049       
 0.393062       19.1208        367.273        1.66742        0.964619       
 0.390686       19.1839        369.68         1.65854        0.962989       
 0.390623       19.2017        370.261        1.55496        0.963929       
 0.390395       19.352         376.369        1.8712         0.963589       
 0.392838       19.302         374.362        1.79349        0.963729       
 0.394239       19.0726        365.565        1.79906        0.962999       
 0.391689       19.0925        366.039        1.51429        0.963399       
 0.390547       19.106         366.892        1.85256        0.962879       
 0.389543       19.0868        366.02         1.71442        0.963769       
 0.388678       19.2094        370.74         1.73754        0.962779       
 0.388247       19.2977        374.137        1.7349         0.963829       
 0.387543       19.2291        371.385        1.62528        0.963019       
 0.38788        19.377         377.192        1.72281        0.963879       
 0.390956       19.1748        369.467        1.79303        0.962809       
 0.392235       19.2384        372            1.88286        0.963879       
 0.392724       19.0891        366.282        1.88592        0.963999       
 0.391293       19.2167        371.096        1.81392        0.963459       
 0.390838       19.3516        375.982        1.49721        0.963549       
 0.390917       19.4045        378.339        1.80438        0.963319       
 0.391349       19.2185        370.775        1.4233         0.963729       
 0.391741       19.2893        373.623        1.54588        0.963059       
 0.392743       19.1322        367.818        1.7784         0.964239       
 0.391706       19.1162        366.745        1.31496        0.963929       
 0.390477       19.0202        363.966        2.19757        0.962929       
 0.388037       19.1426        367.797        1.35828        0.964849       
 0.385238       19.216         370.598        1.34202        0.964479       
 0.385176       19.0912        365.975        1.50339        0.964649       
 0.38368        19.3512        376.116        1.64811        0.964169       
 0.386884       19.1444        368.241        1.73378        0.964699       
 0.386991       19.2641        372.688        1.58416        0.963529       
 0.38742        19.3223        374.939        1.58726        0.963739       
 0.388217       19.1355        368.116        1.94795        0.962859       
 0.388037       19.1511        368.612        1.84752        0.963809       
 0.388796       19.116         367.266        1.84387        0.962579       
 0.389334       19.054         364.804        1.74887        0.964049       
 0.387066       19.3525        376.225        1.70619        0.963889       
 0.389985       19.3826        377.309        1.62186        0.964499       
 0.390824       19.3417        375.833        1.73075        0.963759       
 0.392161       19.3276        375.34         1.7848         0.964229       
