  -- System info -- 
 Number of particles  : 10
 Number of dimensions : 3
 Number of Metropolis steps run : 10^4.99998
 Number of equilibration steps  : 10^4
 Number of parameters : 1

  -- Results -- 
 Param_1        E              E^2            VAR            % Accepted Transitions
 0.5            19.6773        391.535        4.33795        0.955828       
 0.489888       19.6449        389.771        3.85023        0.954998       
 0.480972       19.4886        383.258        3.45209        0.955538       
 0.473748       19.4248        380.724        3.40213        0.955548       
 0.465288       19.3488        377.566        3.19167        0.956418       
 0.457663       19.4448        380.923        2.82396        0.956808       
 0.449387       19.3072        375.431        2.66198        0.959528       
 0.442445       19.2929        375.099        2.88438        0.958718       
 0.436439       19.3712        377.34         2.09522        0.959178       
 0.432134       19.3551        377.148        2.52622        0.960238       
 0.427187       19.3699        379.654        4.46145        0.946758       
 0.420875       19.2864        374.414        2.44706        0.961858       
 0.417269       19.3434        376.566        2.39806        0.962679       
 0.41377        19.2859        373.695        1.74735        0.961248       
 0.411896       19.3304        375.688        2.02422        0.961358       
 0.408767       19.2333        371.863        1.94185        0.962458       
 0.408741       19.0375        364.669        2.24249        0.962539       
 0.406522       19.1379        367.953        1.69148        0.961178       
 0.404328       19.1934        370.345        1.96008        0.963589       
 0.403679       19.1416        368.465        2.0619         0.963529       
 0.402537       19.3404        375.762        1.70919        0.962619       
 0.400479       19.1165        367.134        1.69402        0.963469       
 0.398263       19.1012        366.59         1.73441        0.963219       
 0.397963       18.9846        362.423        2.00726        0.962949       
 0.397523       19.1657        368.843        1.51802        0.963219       
 0.397642       19.3996        378.042        1.69917        0.963299       
 0.398271       19.2619        372.736        1.717          0.962148       
 0.398766       19.0057        363.102        1.88582        0.962388       
 0.397728       19.1659        369.511        2.17818        0.964439       
 0.396698       19.2571        372.491        1.65295        0.963599       
 0.395823       18.9545        361.168        1.89535        0.963049       
 0.393692       19.1568        368.521        1.53826        0.964289       
 0.391699       19.4462        379.93         1.77617        0.963469       
 0.391063       19.4509        380.125        1.78647        0.963379       
 0.391501       19.1976        370.525        1.9774         0.963749       
 0.391764       19.1467        368.135        1.53772        0.965319       
 0.393079       19.2667        372.887        1.68288        0.962248       
 0.392297       19.1534        368.573        1.71881        0.963779       
 0.391763       19.3487        376.161        1.78682        0.963939       
 0.393287       19.0137        363.207        1.68536        0.964219       
 0.390788       19.2476        372.111        1.64006        0.963069       
 0.39115        19.1169        367.094        1.63816        0.963509       
 0.391229       19.244         371.982        1.64942        0.964399       
 0.391676       19.1797        369.508        1.64719        0.964249       
 0.391361       19.1165        367.108        1.66762        0.963259       
 0.390125       19.1522        368.564        1.75684        0.963259       
 0.389118       19.1557        368.721        1.78114        0.963429       
 0.38903        19.0564        364.766        1.61889        0.963749       
 0.387913       19.2224        371.406        1.90444        0.963969       
 0.390157       19.3824        377.351        1.67449        0.964019       
 0.392309       19.1305        367.563        1.588          0.963649       
 0.390939       19.1208        367.417        1.81147        0.963339       
 0.38924        19.425         378.972        1.64337        0.964379       
 0.390579       19.3717        376.853        1.5917         0.964329       
