              r        Density
      0.0500000        101973.
       0.100000        745354.
       0.150000    2.03806E+06
       0.200000    3.81925E+06
       0.250000    6.26494E+06
       0.300000    8.96064E+06
       0.350000    1.19622E+07
       0.400000    1.53797E+07
       0.450000    1.86039E+07
       0.500000    2.22206E+07
       0.550000    2.53075E+07
       0.600000    2.85135E+07
       0.650000    3.14284E+07
       0.700000    3.40342E+07
       0.750000    3.62218E+07
       0.800000    3.81451E+07
       0.850000    3.93128E+07
       0.900000    4.01279E+07
       0.950000    4.05194E+07
        1.00000    4.04296E+07
        1.05000    4.01265E+07
        1.10000    3.93324E+07
        1.15000    3.83374E+07
        1.20000    3.69814E+07
        1.25000    3.55040E+07
        1.30000    3.39747E+07
        1.35000    3.19165E+07
        1.40000    3.00597E+07
        1.45000    2.79168E+07
        1.50000    2.59379E+07
        1.55000    2.39977E+07
        1.60000    2.19039E+07
        1.65000    2.01095E+07
        1.70000    1.81984E+07
        1.75000    1.63826E+07
        1.80000    1.48448E+07
        1.85000    1.31791E+07
        1.90000    1.16661E+07
        1.95000    1.03823E+07
        2.00000    9.12275E+06
        2.05000    8.12024E+06
        2.10000    7.03549E+06
        2.15000    6.25028E+06
        2.20000    5.42090E+06
        2.25000    4.70335E+06
        2.30000    4.02277E+06
        2.35000    3.43216E+06
        2.40000    2.88535E+06
        2.45000    2.45031E+06
        2.50000    2.03703E+06
        2.55000    1.75133E+06
        2.60000    1.44264E+06
        2.65000    1.21280E+06
        2.70000        978208.
        2.75000        800885.
        2.80000        653562.
        2.85000        542558.
        2.90000        450970.
        2.95000        362588.
        3.00000        294662.
        3.05000        249805.
        3.10000        187792.
        3.15000        160134.
        3.20000        121212.
        3.25000        95767.0
        3.30000        73406.0
        3.35000        59316.0
        3.40000        46413.0
        3.45000        33193.0
        3.50000        29852.0
        3.55000        19795.0
        3.60000        12309.0
        3.65000        10476.0
        3.70000        9841.00
        3.75000        5100.00
        3.80000        4743.00
        3.85000        5510.00
        3.90000        4194.00
        3.95000        3893.00
        4.00000        2670.00
